institution,label,city,institution_state,inst_level,statefips
00125804,Pacific Union College - North Coast Builder Exchange,Santa Rosa,CA,I,06
00125805,Pacific Union College - Ukiah Medical Center,Ukiah,CA,I,06
00125806,Pacific Union College - Napa,Napa,CA,I,06
00125807,Pacific Union College - Travis AFB,Travis Air Force Base,CA,I,06
00125808,Pacific Union College - Yuba College - Lake County Extension,Clear Lake,CA,I,06
00125809,Pacific Union College - Wells Fargo Center,Santa Rosa,CA,I,06
00125810,Pacific Union College - Mendocino College,Ukiah,CA,I,06
00125811,Pacific Union College - Napa BSN Program,Napa,CA,I,06
00125900,Palo Verde College,Blythe,CA,I,06
00125901,Palo Verde College -,Needles,CA,I,06
00126000,Palomar College,San Marcos,CA,I,06
00126001,Palomar College - Escondido Center,Escondido,CA,I,06
00126002,Palomar College - Mt San Jacinto College,San Jacinto,CA,I,06
00126003,Palomar College at Camp Pendleton,Camp Pendleton,CA,I,06
00126004,Palomar College - Public Safety Training Center,San Marcos,CA,I,06
00126005,Palomar College - San Diego Carpenters Training Center,San Diego,CA,I,06
00126006,Palomar College - San Diego Electrical Training Trust,San Diego,CA,I,06
00126007,Palomar College - San Diego Sheet Metal JATC,San Diego,CA,I,06
00126008,Palomar College - South Education Center,San Diego,CA,I,06
00126009,Palomar College - North Education Center,Fallbrook,CA,I,06
00126100,Pasadena City College,Pasadena,CA,I,06
00126101,Pasadena City College - Community Education Center,Pasadena,CA,I,06
00126200,Point Loma Nazarene University,San Diego,CA,I,06
00126201,Point Loma Nazarene University - Arcadia Campus,Arcadia,CA,I,06
00126202,Point Loma Nazarene University - Bakersfield Campus,Bakersfield,CA,I,06
00126203,Point Loma Nazarene University - Chula Vista District Office,Chula Vista,CA,I,06
00126204,Point Loma Nazarene University - El Cajon,El Cajon,CA,I,06
00126205,Point Loma Nazarene University - Chula Vista II,Chula Vista,CA,I,06
00126206,Point Loma Nazarene University - Point Loma HS,San Diego,CA,I,06
00126207,Point Loma Nazarene University - Mission Valley Campus,San Diego,CA,I,06
00126208,Point Loma Nazarene University - Mission Valley East Campus,San Diego,CA,I,06
00126209,Point Loma Nazarene University - El Monte District Office,El Monte,CA,I,06
00126210,Point Loma Nazarene University - Carlsbad District Office,Carlsbad,CA,I,06
00126211,Point Loma Nazarene University - Sweetwater District Office,San Diego,CA,I,06
00126212,Point Loma Nazarene University - Grossmont District Office,El Cajon,CA,I,06
00126213,Point Loma Nazarene University - Corona,Corona,CA,I,06
00126214,Point Loma Nazarene University - Chino,Chino,CA,I,06
00126215,Point Loma Nazarene University - La Mesa,La Mesa,CA,I,06
00126216,Point Loma Nazarene University - Rancho Cucamonga,Alta Loma,CA,I,06
00126217,Point Loma Nazarene University - Visalia,Visalia,CA,I,06
00126218,Point Loma Nazarene University - Liberty Station Conference Center,San Diego,CA,I,06
00126219,Point Loma Nazarene University- Lake Elsinore District Office,Lake Elsinore,CA,I,06
00126220,Point Loma Nazarene University - Grossmont College campus,El Cajon,CA,I,06
00126221,Point Loma Nazarene University - Southwestern College campus,Chula Vista,CA,I,06
00126222,Point Loma Nazarene University - Palomar College campus,San Marcos,CA,I,06
00126223,Point Loma Nazarene University - San Diego City College,San Diego,CA,I,06
00126224,Point Loma Nazarene University - Miracosta College campus,Oceanside,CA,I,06
00126225,Point Loma Nazarene University - Cuyamaca College campus,El Cajon,CA,I,06
00126226,Point Loma Nazarene University - MiraCosta College San Elijo Campus,Cardiff,CA,I,06
00126227,Point Loma Nazarene University - MiraCosta College Learning Center,Oceanside,CA,I,06
00126228,Point Loma Nazarene University - Southwestern College Higher Ed Center,San Diego,CA,I,06
00126229,Point Loma Nazarene University - Balboa Avenue Regional Center,San Diego,CA,I,06
00126230,Point Loma Nazarene University - Sharp Grossmont,La Mesa,CA,I,06
00126300,Pasadena Playhouse College of the Arts,Pasadena,CA,I,06
00126400,Pepperdine University,Los Angeles,CA,I,06
00126500,Peralta Community College System Office,Oakland,CA,I,06
00126600,Laney College,Oakland,CA,I,06
00126601,Laney College - Carpentry Site,Oakland,CA,I,06
00126602,Laney College - Carpentry Site,Oakland,CA,I,06
00126603,Laney College - Carpentry Site,Oakland,CA,I,06
00126604,Laney College - Carpentry Site,Oakland,CA,I,06
00126605,Laney College - Carpentry Site,Oakland,CA,I,06
00126606,Laney College - Carpentry Site,Oakland,CA,I,06
00126607,Laney College - Carpentry Site,Oakland,CA,I,06
00126700,Merritt College,Oakland,CA,I,06
00126800,Porterville College,Porterville,CA,I,06
00126900,Rio Hondo Community College,Whittier,CA,I,06
00126901,Rio Hondo Community College - Santa Fe Springs Training Center,Santa Fe Springs,CA,I,06
00127000,Riverside City College,Riverside,CA,I,06
00127001,Riverside City College - Moreno Valley College,Moreno Valley,CA,I,06
00127002,Riverside City College - Norco College,Norco,CA,I,06
00127003,Riverside City College - Riverside City College,Riverside,CA,I,06
00127004,Riverside City College - Riverside County Regional Medical Center,Moreno Valley,CA,I,06
00127005,Riverside City College - Culinary Arts Academy,Riverside,CA,I,06
00127006,Riverside City College - Ben Clark Training Center,Riverside,CA,I,06
00127200,San Bernardino Valley College,San Bernardino,CA,I,06
00127300,San Diego City College,San Diego,CA,I,06
00127301,San Diego City College - Educational Cultural Complex,San Diego,CA,I,06
00127400,San Diego City College All Campuses,San Diego,CA,I,06
00127500,San Diego Mesa College,San Diego,CA,I,06
00127600,Lone Mountain College,San Francisco,CA,I,06
00127700,San Francisco College of Morturary Sciences,San Francisco,CA,I,06
00127800,San Francisco Conservatory of Music,San Francisco,CA,I,06
00127900,San Francisco Theological Seminary,San Anselmo,CA,I,06
00127901,San Francisco Theological Seminary - Pasadena Campus,Pasadena,CA,I,06
00128000,San Joaquin Delta College,Stockton,CA,I,06
00128001,San Joaquin Delta College - South Campus at Mountain House,Mountain House,CA,I,06
00128100,William Jessup University,Rocklin,CA,I,06
00128101,William Jessup University - Extension Facility,East Palo Alto,CA,I,06
00128102,William Jessup University - Extension Facility,Fresno,CA,I,06
00128103,William Jessup University - Extention Facility,Modesto,CA,I,06
00128104,William Jessup University - Extension Facility,Stockton,CA,I,06
00128105,William Jessup University - Extension Facility,Stockton,CA,I,06
00128106,William Jessup University - Extension Facility,Los Gatos,CA,I,06
00128107,William Jessup University - Richmond Extension at First Church,Richmond,CA,I,06
00128108,William Jessup University - Shepard of the Hills Luthern Church,San Francisco,CA,I,06
00128109,William Jessup University - Modesto Extension at First Baptist Church,Modesto,CA,I,06
00128110,William Jessup University - Fresno Pacific College,Fresno,CA,I,06
00128111,William Jessup University,Rocklin,CA,I,06
00128112,William Jessup University - Extension Facility,Oakland,CA,I,06
00128113,William Jessup University - Extension Facility,San Leandro,CA,I,06
00128114,William Jessup University - Bay Area Regional Center,San Jose,CA,I,06
00128115,William Jessup University - Elk Grove Extension,Elk Grove,CA,I,06
00128200,San Jose City College,San Jose,CA,I,06
00128400,Santa Ana College,Santa Ana,CA,I,06
00128401,Santa Ana College - Santiago Canyon College,Orange,CA,I,06
00128402,Santa Ana College - Business & Industry Service Center,Santa Ana,CA,I,06
00128403,Santa Ana College - Orange County Sheriff's Regional Training Academy,Tustin,CA,I,06
00128404,Santa Ana College - Centennial Education Center,Santa Ana,CA,I,06
00128405,Santa Ana College-Digital Media Center,Santa Ana,CA,I,06
00128500,Santa Barbara City College,Santa Barbara,CA,I,06
00128600,Santa Monica College,Santa Monica,CA,I,06
00128601,Santa Monica College - Performing Arts Center,Santa Monica,CA,I,06
00128602,Santa Monica College - Center for Media and Design,Santa Monica,CA,I,06
00128700,Santa Rosa Junior College - Santa Rosa,Santa Rosa,CA,I,06
00128701,Santa Rosa Junior College - Petaluma Campus,Petaluma,CA,I,06
00128702,Santa Rosa Junior College-Public Safety Training Center,Windsor,CA,I,06
00128703,Santa Rosa Junior College - Agua Caliente Villa,Sonoma,CA,I,06
00128704,Santa Rosa Junior College - Analy Union High School,Sebastopol,CA,I,06
00128705,Santa Rosa Junior College - Becoming Independent,Santa Rosa,CA,I,06
00128706,Santa Rosa Junior College - Altamira Middle School,Sonoma,CA,I,06
00128707,Santa Rosa Junior College - Apple Valley Convalescence Hospital,Sebastopol,CA,I,06
00128708,Santa Rosa Junior College - Becoming Independent,Santa Rosa,CA,I,06
00128709,Santa Rosa Junior College - Becoming Independent/Sonoma,Sonoma,CA,I,06
00128710,Santa Rosa Junior College - Bethlehem Towers,Santa Rosa,CA,I,06
00128711,Santa Rosa Junior College - Bodega Harbor Homeowners Association,Bodega Bay,CA,I,06
00128712,Santa Rosa Junior College - Becoming Independent/West,Santa Rosa,CA,I,06
00128713,Santa Rosa Junior College - Beverly Manor of Petaluma,Petaluma,CA,I,06
00128714,Santa Rosa Junior College - Burbank Heights Apartments,Sebastopol,CA,I,06
00128715,Santa Rosa Junior College - Care West/Petaluma,Petaluma,CA,I,06
00128716,Santa Rosa Junior College - Chanate,Santa Rosa,CA,I,06
00128717,Santa Rosa Junior College - Cloverdale Grange,Cloverdale,CA,I,06
00128718,Santa Rosa Junior College - Care West - Cloverdale/Manzanita,Cloverdale,CA,I,06
00128719,Santa Rosa Junior College - Children's Music World,Sebastopol,CA,I,06
00128720,Santa Rosa Junior College - Cloverdale High School,Cloverdale,CA,I,06
00128721,Santa Rosa Junior College - Cloverdale Senior Day Program,Cloverdale,CA,I,06
00128722,Santa Rosa Junior College - Cottage Grove Home,Windsor,CA,I,06
00128723,Santa Rosa Junior College - Creekside Convalescence Hospital,Santa Rosa,CA,I,06
00128724,Santa Rosa Junior College - Cloverdale Ranch,Santa Rosa,CA,I,06
00128725,Santa Rosa Junior College - Council on Aging of Sonoma County,Santa Rosa,CA,I,06
00128726,Santa Rosa Junior College - Ellis Retirement Home,Santa Rosa,CA,I,06
00128727,Santa Rosa Junior College - Farm Advisory Office,Santa Rosa,CA,I,06
00128728,Santa Rosa Junior College - First Baptist Church of Windsor,Windsor,CA,I,06
00128729,Santa Rosa Junior College - Forestville Fire Department,Forestville,CA,I,06
00128730,Santa Rosa Junior College - Fircrest Convalescent Hospital,Sebastopol,CA,I,06
00128731,Santa Rosa Junior College - Flamingo Hotel,Santa Rosa,CA,I,06
00128732,Santa Rosa Junior College - Forestville United Methodist Church,Forestville,CA,I,06
00128733,Santa Rosa Junior College - Foss Creek Elementary School,Healdsburg,CA,I,06
00128734,Santa Rosa Junior College - Friends House,Santa Rosa,CA,I,06
00128735,Santa Rosa Junior College - Goodwill Industries of the Redwood Empire,Santa Rosa,CA,I,06
00128736,Santa Rosa Junior College - Friedman Center,Santa Rosa,CA,I,06
00128737,Santa Rosa Junior College - Gayserville Education Park,Geyserville,CA,I,06
00128738,Santa Rosa Junior College - Gualala Arts Center,Gualala,CA,I,06
00128739,Santa Rosa Junior College - Gualala Community Center,Gualala,CA,I,06
00128740,Santa Rosa Junior College - Guenerville School,Guerneville,CA,I,06
00128741,Santa Rosa Junior College - Healdsburg Elementary School,Healdsburg,CA,I,06
00128742,Santa Rosa Junior College - Gueneville Oddfellows Hall,Guerneville,CA,I,06
00128743,Santa Rosa Junior College - Healdsburg Convalescent,Healdsburg,CA,I,06
00128744,Santa Rosa Junior College - Healdsburg High School,Healdsburg,CA,I,06
00128745,Santa Rosa Junior College - Heart of Sonoma,Sonoma,CA,I,06
00128746,Santa Rosa Junior College - Institute for Better Health,Santa Rosa,CA,I,06
00128747,Santa Rosa Junior College - Labor Center,Santa Rosa,CA,I,06
00128748,Santa Rosa Junior College - Hermann Sons Hall,Petaluma,CA,I,06
00128749,Santa Rosa Junior College - Kenilworth Junior High School,Petaluma,CA,I,06
00128750,Santa Rosa Junior College - LaTercera Elementary School,Petaluma,CA,I,06
00128751,Santa Roas Junior College - Lincoln Arts Center,Santa Rosa,CA,I,06
00128752,Santa Rosa Junior College - London House-Santa Rosa,Santa Rosa,CA,I,06
00128753,Santa Rosa Junior College - Los Guilucos Center Nursery,Santa Rosa,CA,I,06
00128754,Santa Rosa Junior College - Lodge at Paulin Creek,Santa Rosa,CA,I,06
00128755,Santa Rosa Junior College - London House/Sonoma,Sonoma,CA,I,06
00128756,Santa Rosa Junior College - Lucchesi Center,Petaluma,CA,I,06
00128757,Santa Rosa Junior College - Lucchesi Senior Center/Pet CC,Petaluma,CA,I,06
00128758,Santa Rosa Junior College - Mark West School,Santa Rosa,CA,I,06
00128759,Santa Rosa Junior College - Methodist Church,Point Arena,CA,I,06
00128760,Santa Rosa Junior College - Manual Skills Training Center,Santa Rosa,CA,I,06
00128761,Santa Rosa Junior College - Martial Arts Training Center,Healdsburg,CA,I,06
00128762,Santa Rosa Junior College - Middle Way,Sebastopol,CA,I,06
00128763,Santa Rosa Junior College - Miwok Valley Elementary School,Petaluma,CA,I,06
00128764,Santa Rosa Junior College - Montgomery Manor Convalesent Hospital,Santa Rosa,CA,I,06
00128765,Santa Rosa Junior College - North Bay Industries,Rohnet Park,CA,I,06
00128766,Santa Rosa Junior College - Montgomery High School,Santa Rosa,CA,I,06
00128767,Santa Rosa Junior College - Mountain View High School,Healdsburg,CA,I,06
00128768,Santa Rosa Junior College - North Bay Performing Arts,Petaluma,CA,I,06
00128769,Santa Rosa Junior College - North County Detention Facility,Santa Rosa,CA,I,06
00128770,Santa Rosa Junior College - Oaks Convalescent Hospital,Petaluma,CA,I,06
00128771,Santa Rosa Junior College - Oregon Theatre Field Trip,Asland,OR,I,41
00128772,Santa Rosa Junior College - Oakmont Gardens Apartments,Santa Rosa,CA,I,06
00128773,Santa Rosa Junior College - Odd Fellows Hall,Guerneville,CA,I,06
00128774,Santa Rosa Junior College - Petaluma Seniors Involved,Petaluma,CA,I,06
00128775,Santa Rosa Junior College - Petaluma Aero Flight School,Petaluma,CA,I,06
00128776,Santa Rosa Junior College - Petaluma Aero Flight School,Petaluma,CA,I,06
00128777,Santa Rosa Junior College - Petaluma Senior Center Community Center,Petaluma,CA,I,06
00128778,Santa Rosa Junior College - Petaluma Fire Department,Petaluma,CA,I,06
00128779,Santa Rosa Junior College - Petaluma People Services Center,Petaluma,CA,I,06
00128780,Santa Rosa Junior College - Petaluma Training Center,Petaluma,CA,I,06
00128781,Santa Rosa Junior College - Pleasant Care (Cambridge),Petaluma,CA,I,06
00128782,Santa Rosa Junior College - Point Arena Joint Union High School,Point Arena,CA,I,06
00128783,Santa Rosa Junior College - Redwood Empire Industries,Santa Rosa,CA,I,06
00128784,Santa Rosa Junior College - Point Arena Fire Department,Point Arena,CA,I,06
00128785,Santa Rosa Junior College - Rancho Cotati High School,Rohnert Park,CA,I,06
00128786,Santa Rosa Junior College - River Community Services-Sebastopol,Sebastopol,CA,I,06
00128787,Santa Rosa Junior College - Rohnert Park Community Center,Rohnert Park,CA,I,06
00128788,Santa Rosa Junior College - Rohnert Park Senior Center,Rohnert Park,CA,I,06
00128789,"Santa Rosa Junior College - Salvation Army, Lytton Center",Healdsburg,CA,I,06
00128790,Santa Rosa Junior College - Rohnert Park Gymnastics,Rohnert Park,CA,I,06
00128791,Santa Rosa Junior College - Russian River Community Services,Guerneville,CA,I,06
00128792,Santa Rosa Junior College - Santa Rosa Convalescent Hospital,Santa Rosa,CA,I,06
00128793,Santa Rosa Junior College - Santa Rosa Fire Training Tower,Santa Rosa,CA,I,06
00128794,Santa Rosa Junior College - Shone Farm,Forestville,CA,I,06
00128795,Santa Rosa Junior College - Santa Rosa Senior Center,Santa Rosa,CA,I,06
00128796,Santa Rosa Junior College - Santa Rosa High School,Santa Rosa,CA,I,06
00128797,Santa Rosa Junior College - Santa Rosa Junior High School,Santa Rosa,CA,I,06
00128798,Santa Rosa Junior College - Santa Rosa Village Mobile Home Park,Santa Rosa,CA,I,06
00128799,Santa Rosa Junior College - Schooner Gulch,Point Arena,CA,I,06
00128800,Claremont School of Theology,Claremont,CA,I,06
00128801,Claremont School of Theology - Willamette University,Salem,OR,I,41
00128900,Shasta College,Redding,CA,I,06
00129000,Sierra College,Rocklin,CA,I,06
00129001,Sierra College-Nevada County Campus,Grass Valley,CA,I,06
00129002,Sierra College-Roseville Gateway,Roseville,CA,I,06
00129100,Simpson University,Redding,CA,I,06
00129101,Simpson University -  Weed,Weed,CA,I,06
00129102,Simpson University - Korea,Seoul,,I,
00129103,Simpson University - Scotts Valley,Scotts Valley,CA,I,06
00129104,Simpson University - Woodland,Woodland,CA,I,06
00129105,Simpson University - Modoc County,Alturas,CA,I,06
00129106,Simpson University - Lassen County,Susanville,CA,I,06
00129200,Solano Community College,Fairfield,CA,I,06
00129201,Solano Community College - Vallejo Center,Vallejo,CA,I,06
00129202,Solano Community College - Vacaville Center,Vacaville,CA,I,06
00129203,Solano Community College - Automotive Technology Center,Vallejo,CA,I,06
00129204,Solano Community College - Nut Tree Aeronautics,Vacaville,CA,I,06
00129300,Vanguard University of Southern California,Costa Mesa,CA,I,06
00129301,Vanguard University of Southern California - West Angeles,Los Angeles,CA,I,06
00129302,Vanguard University of Southern California-Los Angeles Bible Institute,La Puente,CA,I,06
00129303,Vanguard University of Southern California - Bakersfield Center,Bakersfield,CA,I,06
00129304,Vanguard University of Southern California - South Orange County,San Juan Capistrano,CA,I,06
00129305,Vanguard University of Southern California - Costa Rica Studies Center,San Jose,,I,
00129306,Vanguard University of Southern California - Culver City,Culver City,CA,I,06
00129307,Vanguard University of Southern California - Hyundai Extension,Fountain Valley,CA,I,06
00129308,Vanguard University of Southern California - St Jude Medical Center,Fullerton,CA,I,06
00129309,Vanguard University of Southern California - Canyon Hills AG,Bakersfield,CA,I,06
00129310,Vanguard University of Southern California - Santa Ana,Santa Ana,CA,I,06
00129311,Vanguard University of Southern California - Victorville,Victorville,CA,I,06
00129400,Southwestern Community College District,Chula Vista,CA,I,06
00129401,Southwestern College - Higher Education Center at San Ysidro,San Ysidro,CA,I,06
00129402,Southwestern College - Higher Education Center at National City,National City,CA,I,06
00129403,Southwestern College - Higher Education Center at Otay Mesa,San Diego,CA,I,06
00129404,Southwestern Community College District-Richard J Donovan Correctional,San Diego,CA,I,06
00129405,Southwestern Community College District - Naval Air Station North Isla,San Diego,CA,I,06
00129500,Southwestern Law School,Los Angeles,CA,I,06
00129600,Dominican School of Philosophy and Theology,Berkeley,CA,I,06
00129700,Saint Alberts College Immaculate Conception,Kentfield,CA,I,06
00129800,Saint Alberts Saint Raymonds College,Thousand Oaks,CA,I,06
00129900,Saint John's Seminary,Camarillo,CA,I,06
00129901,Saint John's Seminary,Camarillo,CA,I,06
00130000,Saint Josephs College of Orange,Orange,CA,I,06
00130200,Saint Mary's College of California,Moraga,CA,I,06
00130201,Saint Mary's College of California - Saint Francis High School,Sacramento,CA,I,06
00130202,Saint Mary's College of California - Central Catholic High School,Modesto,CA,I,06
00130203,Saint Mary's College of California - San Jose Education Center,San Jose,CA,I,06
00130204,Saint Mary's College of California - Oakland Education Center,Oakland,CA,I,06
00130205,Saint Mary's College of California - Mercy General Hospital,Sacramento,CA,I,06
00130206,Saint Mary's College of California - Graduate Business Program,San Ramon,CA,I,06
00130207,Saint Mary's College of California - Graduate Business Program,San Ramon,CA,I,06
00130208,Saint Mary's College of California - Sunnyvale Location,Sunnyvale,CA,I,06
00130209,Saint Mary's College of California - Sacramento Education Center,Sacramento,CA,I,06
00130210,Saint Mary's College of California - Alan Temple Baptist Church Site,Oakland,CA,I,06
00130211,Saint Mary's College of California - Fairfield Education Center,Fairfield,CA,I,06
00130212,Saint Mary's College of California - Fremont,Fremont,CA,I,06
00130213,Saint Mary's College of California - Livermore,Livermore,CA,I,06
00130214,Saint Mary's College of California - Pleasant Hill,Pleasant Hill,CA,I,06
00130215,Saint Mary's College of California - Pleasanton,Pleasanton,CA,I,06
00130216,Saint Mary's College of California - Santa Rosa,Santa Rosa,CA,I,06
00130217,Saint Mary's College of California - Stockton,Stockton,CA,I,06
00130218,Saint Mary's College of California - Walnut Creek,Walnut Creek,CA,I,06
00130219,Saint Mary's College of California - San Francisco ELP,San Francisco,CA,I,06
00130220,Saint Mary's College of California - Oakley,Oakley,CA,I,06
00130221,Saint Mary's College of California -,Brentwood,CA,I,06
00130222,Saint Mary's College of California - Napa,Napa,CA,I,06
00130223,Saint Mary's College of California - Alameda,Oakland,CA,I,06
00130224,Saint Mary's College of California - Pittsburg,Pittsburg,CA,I,06
00130225,Saint Mary's College of California - SF,San Francisco,CA,I,06
00130226,Saint Mary's College of California - SF,San Francisco,CA,I,06
00130227,Saint Mary's College of California - San Pablo,San Pablo,CA,I,06
00130228,Saint Mary's College of California - Tracy,Tracy,CA,I,06
00130229,Saint Mary's College of California - Vacaville,Vacaville,CA,I,06
00130230,Saint Mary's College of California - Rancho Cordova,Rancho Cordova,CA,I,06
00130231,Saint Mary's College of California - Fairfield,Fairfield,CA,I,06
00130232,Saint Mary's College of California - Santa Clara,Santa Clara,CA,I,06
00130233,Saint Mary's College of California - Chapman University College,Fairfield,CA,I,06
00130234,Saint Mary's College of California - UC Davis Extension,Sacramento,CA,I,06
00130235,Saint Mary's College of California - Univ of California Santa Cruz,Sunnyvale,CA,I,06
00130236,"Saint Mary's College of California - St, Paul's Lutheran Church",Tracy,CA,I,06
00130237,Saint Mary's College of California - Ramada Plaza Hotel International,San Francisco,CA,I,06
00130238,Saint Mary's College of California - Miyako Hotel,Los Angeles,CA,I,06
00130239,Saint Mary's College of California - New Jersey,Jersey City,NJ,I,34
00130240,Saint Mary's College of California -,New York,NY,I,36
00130241,Saint Mary's College of California -,Las Vegas,NV,I,32
00130300,Saint Josephs College,Mountain View,CA,I,06
00130500,Stanford University,Stanford,CA,I,06
00130501,Stanford University - School of Medicine,Stanford,CA,I,06
00130502,Stanford University - Grad School of Business,Stanford,CA,I,06
00130503,Stanford University - Stanford Law School,Stanford,CA,I,06
00130504,Stanford University - Stanford University Graduate School Of Business,Stanford,CA,I,06
00130600,State Center Community College System Office,Fresno,CA,I,06
00130700,Fresno City College,Fresno,CA,I,06
00130701,Fresno City College - Career and Technology Center,Fresno,CA,I,06
00130702,Fresno City College - Manchester Educational Resource Center,Fresno,CA,I,06
00130800,Reedley College,Reedley,CA,I,06
00130801,Reedley College - Herndon Campus,Clovis,CA,I,06
00130802,Reedley College - Madera Center,Madera,CA,I,06
00130803,Reedley College - Oakhurst Center,Oakhurst,CA,I,06
00130804,Reedley College - Sanger Community Campus,Sanger,CA,I,06
00130805,Reedley College - Selma Community Campus,Selma,CA,I,06
00130806,Reedley College -  Clovis Community College Center,Fresno,CA,I,06
00130900,Taft College,Taft,CA,I,06
00131000,Naval Postgraduate School,Monterey,CA,I,06
00131100,University of California System Office,Oakland,CA,I,06
00131200,"University of California, Berkeley",Berkeley,CA,I,06
00131300,"University of California, Davis",Davis,CA,I,06
00131301,"University of California, Davis - Merced",Atwater,CA,I,06
00131302,"University of California, Davis - School of Medicine",Sacramento,CA,I,06
00131303,"University of California, Davis - Bay Area",San Ramon,CA,I,06
00131304,"University of California, Davis- Hastings College of the Law",San Francisco,CA,I,06
00131400,"University of California, Irvine",Irvine,CA,I,06
00131401,"University of California, Irvine -",Irvine,CA,I,06
00131500,"University of California, Los Angeles",Los Angeles,CA,I,06
00131501,"University of California, Los Angeles - UCLA Extension",Los Angeles,CA,I,06
00131502,"University of California, Los Angeles - Medical School",Los Angeles,CA,I,06
00131503,"University of California, Los Angeles - Dental School",Los Angeles,CA,I,06
00131600,"University of California, Riverside",Riverside,CA,I,06
00131601,"University of California, Riverside - Palm Desert Campus",Palm Desert,CA,I,06
00131700,"University of California, San Diego",La Jolla,CA,I,06
00131701,University of California - San Diego Downtown Center,San Diego,CA,I,06
00131702,"University of California, San Diego - Extension Rancho Bernardo Center",San Diego,CA,I,06
00131703,"University of California, San Diego - Medical Education",La Jolla,CA,I,06
00131704,"University of California, San Diego - Extension Sorrento Mesa Center",San Diego,CA,I,06
00131705,"University of California, San Diego - Extension Mission Valley Center",San Diego,CA,I,06
00131800,University of California San Diego Revelle College,San Diego,CA,I,06
00131900,"University of California, San Francisco",San Francisco,CA,I,06
00131901,University of California - San Francisco-General Hospital Medical Cntr,San Francisco,CA,I,06
00132000,"University of California, Santa Barbara",Santa Barbara,CA,I,06
00132100,"University of California, Santa Cruz",Santa Cruz,CA,I,06
00132200,University of Redlands,Redlands,CA,I,06
00132201,University of Redlands - Riverside Campus,Riverside,CA,I,06
00132202,University of Redlands - South Coast Metro,Santa Ana,CA,I,06
00132203,University of Redlands - San Diego Campus,San Diego,CA,I,06
00132204,University of Redlands - Rancho Cucamonga/Ontario Campus,Rancho Cucamonga,CA,I,06
00132205,University of Redlands - Burbank Campus,Burbank,CA,I,06
00132206,University of Redlands - Los Angeles Campus,Torrance,CA,I,06
00132207,University of Redlands - Temecula Campus,Temecula,CA,I,06
00132208,University of Redlands - Apple Valley,Apple Valley,CA,I,06
00132209,University of Redlands - Collins Aerospace - Riverside,Riverside,CA,I,06
00132210,University of Redlands - Collins Aerospace - Chula Vista,Chula Vista,CA,I,06
00132211,University of Redlands - California Institute of Technology,Pasadena,CA,I,06
00132212,University of Redlands - Fullerton College,Fullerton,CA,I,06
00132213,University of Redlands - Firefighter's First Credit Union,Los Angeles,CA,I,06
00132214,University of Redlands - Graduate School of Theology,San Anselmo,CA,I,06
00132215,University of Redlands - WeWorks Gas Tower,Los Angeles,CA,I,06
00132216,University of Redlands - San Diego Mesa College,San Diego,CA,I,06
00132217,University of Redlands - Palomar College,San Marcos,CA,I,06
00132218,"University of Redlands - Abbott Vascular, Inc.",Temecula,CA,I,06
00132300,University of San Diego College for Men,San Diego,CA,I,06
00132400,University of San Diego College for Women,San Diego,CA,I,06
00132500,University of San Francisco,San Francisco,CA,I,06
00132501,University of San Francisco - Programs at Kino,Phoenix,AZ,I,04
00132502,University of San Francisco - Oakland Regional Campus,Oakland,CA,I,06
00132503,University of San Francisco - North Bay Regional Campus,Santa Rosa,CA,I,06
00132504,University of San Francisco - Pleasanton Campus,Pleasanton,CA,I,06
00132505,University of San Francisco - South Bay Regional Campus,San Jose,CA,I,06
00132506,University of San Francisco - Sacramento Campus,Sacramento,CA,I,06
00132507,University of San Francisco - Hewlett Packard Program,Cupertino,CA,I,06
00132508,University of San Francisco - Orange Campus,Orange,CA,I,06
00132509,University of San Francisco - Program at Notre Dame Academy,Los Angeles,CA,I,06
00132510,University of San Francisco - Program at St. Ignatius College Prep,San Francisco,CA,I,06
00132511,University of San Francisco - Stockton Campus,Stockton,CA,I,06
00132512,University of San Francisco - Programs at American Martyrs School,Manhatten Beach,CA,I,06
00132513,University of San Francisco - Golden Gate National Recreation Area,Sausalito,CA,I,06
00132514,University of San Francisco - Program at Hillsdale High School,San Mateo,CA,I,06
00132515,University of San Francisco - San Francisco General Hospital,San Francisco,CA,I,06
00132516,University of San Francisco - San Francisco Police Academy,San Francisco,CA,I,06
00132517,University of San Francisco - Bishop O'Dowd High School,Oakland,CA,I,06
00132518,University of San Francisco - VA Palo Alto Health Care System,Palo Alto,CA,I,06
00132519,University of San Francisco - Marin County Sheriff's Department,San Rafael,CA,I,06
00132520,University of San Francisco - Fresno Campus,Fresno,CA,I,06
00132521,University of San Francisco - Prescott Hotel,San Francisco,CA,I,06
00132522,University of San Francisco - USF Presidio Campus,San Francisco,CA,I,06
00132523,University of San Francisco - Hotel Adagio,San Francisco,CA,I,06
00132524,University of San Francisco - Downtown Campus,San Francisco,CA,I,06
00132525,University of San Francisco - San Mateo Union High School District,San Mateo,CA,I,06
00132526,University of San Francisco - Galleria Park Hotel,San Francisco,CA,I,06
00132527,University of San Francisco - San Francisco Geary,San Francisco,CA,I,06
00132528,University of San Francisco - First Street,San Francisco,CA,I,06
00132529,University of San Francisco - San Leandro,San Leandro,CA,I,06
00132530,University of San Francisco - Oakland Kaiser Permanente,Oakland,CA,I,06
00132531,University of San Francisco - Santa Rosa Junior College,Santa Rosa,CA,I,06
